Resort_Name,google_search_name,Resort_INS_hashtag,twitter_account_name,twitter_screen_name,Continent,Country,State,URL,Altitude,Easy_km,Intermediate_km,Difficult_km,Adult_ticket,Youth_ticket,Child_ticket,Lifts_cables
loup-loup-ski-bowl,loup-loup-ski-bowl skiresort,louploupskibowl,Loup Loup,LoupLoupSkiBowl,North America,USA,Washington State,http://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,1620,3,5,3,48,37,27,2.8
loveland,loveland skiresort,louploupskibowl,Loveland Ski Area,LovelandSkiArea,North America,USA,Colorado,http://www.skiresort.info/ski-resort/loveland/,3871,12,38,43,75,0,32,3
mad-river-glen,mad-river-glen skiresort,madriverglenskiitifyoucan,Mad River Glen,MadRiverGlen,North America,USA,Vermont,http://www.skiresort.info/ski-resort/mad-river-glen/,1108,14,17,15,82,0,68,3
mammoth-mountain,mammoth-mountain skiresort,mammothmountain,MammothMountain,MammothMountain,North America,USA,California,http://www.skiresort.info/ski-resort/mammoth-mountain/,3369,18.4,48.5,22.9,159,130,64,4
maple-ski-ridge,maple-ski-ridge skiresort,mapleskiridge,Maple Ski Ridge,mapleskiridge,North America,USA,New York,http://www.skiresort.info/ski-resort/maple-ski-ridge/,250,0.3,0.8,0.3,0,0,0,null
marquette-mountain,marquette-mountain skiresort,marquettemountain,Marquette Mountain,marquettemtn,North America,USA,Michigan,http://www.skiresort.info/ski-resort/marquette-mountain/,390,1.5,5,3.5,46,0,41,3
mcintyre,mcintyre skiresort,mcintyreski,Mclntyre Ski Area,Mclntyreskiarea,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mcintyre/,155,2.5,0.5,0,36,0,32,3
middlebury-college-snow-bowl,middlebury-college-snow-bowl skiresort,middleburycollegesnowbowl,Middlebury Snow Bowl,MiddleburySB,North America,USA,Vermont,http://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,810,5,4,6,55,45,15,3
mohawk-mountain,mohawk-mountain skiresort,mohawkmountain,Mohawk Mountain,MohawkMountain,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/mohawk-mountain/,454,3,2,3,60,0,52,3
montage-mountain-resort,montage-mountain-resort skiresort,montagemountainresort,Montage Mountain,MontageMtnPA,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/montage-mountain-resort/,594,2,4,3.5,62,0,49,3
